,source,target,source_group,target_group,weight,source_image,target_image
119,77817617,F3460894D0011|00000199609C0448F3460894D0011,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
120,77817617,F3460894D0011|00000199609C0431F3460894D0011,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
121,77817617,F3460894D0011|00000199609C0451F3460894D0011,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
122,77817617,F3460894D0011|00000199609C0449F3460894D0011,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
123,77817617,F3460894D0011|00000199609C0429F3460894D0011,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
124,77817617,DAHC9495D0005|00000199609C0357DAHC9495D0005,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
125,77817617,N6893995D0018|00000199609C0342N6893995D0018,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
126,77817617,N6893995D0018|00000199607C0291N6893995D0018,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
127,77817617,F3460894D0011|00000199609C0345F3460894D0011,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
128,77817617,N6893995D0018|00000199606C0295N6893995D0018,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
129,77817617,F3460894D0011|00000199510C0131F3460894D0011,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
130,77817617,F3460894D0011|00000199609C0361F3460894D0011,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
131,77817617,N6893995D0018|00000199607C0296N6893995D0018,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
132,77817617,00000199609BN6893995D0018,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
133,77817617,N6893995D0018|00000199609C0335N6893995D0018,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
134,77817617,N6893995D0018|00000199605C0207N6893995D0018,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
135,77817617,DAHC9495D0005|00000199609C0422DAHC9495D0005,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
136,77817617,N6893995D0018|00000199609C0333N6893995D0018,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
137,77817617,F3460894D0011|00000199510C0132F3460894D0011,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
138,77817617,N6893995D0018|00000199609CYK42N6893995D0018,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
139,77817617,F3460894D0011|00000199609C0435F3460894D0011,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
140,77817617,DAHC9495D0005|00000199609C0469DAHC9495D0005,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
141,77817617,N6893995D0018|00000199607C0292N6893995D0018,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
142,77817617,F3460894D0011|00000199609C0432F3460894D0011,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
143,77817617,N6893995D0018|00000199602C0151N6893995D0018,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
144,77817617,N6893995D0018|00000199602C0107N6893995D0018,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
145,77817617,F3460894D0011|00000199608C0299F3460894D0011,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
146,77817617,N6893995D0018|00000199609C0369N6893995D0018,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
147,77817617,DAHC9495D0005|00000199608C0307DAHC9495D0005,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
148,77817617,N6893995D0018|00000199609C0434N6893995D0018,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
149,77817617,F3460894D0011|00000199609C0362F3460894D0011,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
150,77817617,N6893995D0018|00000199609C0384N6893995D0018,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
151,77817617,N6893995D0018|00000199609C0334N6893995D0018,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
152,77817617,F3460894D0011|00000199609C0360F3460894D0011,secondary_vendor,contract,0.8158015726124936,/company_secondary.png,/company_contract.png
